game_id,date_time_est,home_team,away_team,status,season,season_type,pre_game_data_finalized,game_data_finalized
0022300265,2023-11-30T19:00:00Z,CLE,POR,Completed,2023-2024,Regular Season,0,0
0022300581,2024-01-18T21:00:00Z,UTA,OKC,Completed,2023-2024,Regular Season,0,0
0022301196,2024-04-14T15:30:00Z,OKC,DAL,Completed,2023-2024,Regular Season,0,0
0022301058,2024-03-27T21:00:00Z,UTA,SAS,Completed,2023-2024,Regular Season,0,0
0022300025,2023-11-14T22:00:00Z,GSW,MIN,Completed,2023-2024,Regular Season,0,0
0022300722,2024-02-06T19:30:00Z,NYK,MEM,Completed,2023-2024,Regular Season,0,0
0022300388,2023-12-23T12:30:00Z,NYK,MIL,Completed,2023-2024,Regular Season,0,0
0022300491,2024-01-05T22:00:00Z,LAL,MEM,Completed,2023-2024,Regular Season,0,0
0042300302,2024-05-23T20:00:00Z,BOS,IND,Completed,2023-2024,Post Season,0,0
0042300131,2024-04-20T13:00:00Z,CLE,ORL,Completed,2023-2024,Post Season,0,0

0022300265,0022300581,0022301196,0022301058,0022300025,0022300722,0022300388,0022300491,0042300302,0042300131
